Date,Client,Pays,Segment,Produit,Ventes,Churn
01/01/2024,TechGlobal,France,Enterprise,Premium,2500,Non
02/01/2024,BioSecur,USA,SMB,Basic,450,Oui
05/01/2024,DataArmor,Allemagne,Enterprise,Pro,1200,Non
10/01/2024,CloudNine,Canada,Consumer,Basic,300,Oui
12/01/2024,SafeBank,France,Enterprise,Premium,2500,Non
15/01/2024,EduProtect,UK,SMB,Pro,1100,Non
18/01/2024,NanoChip,USA,Enterprise,Pro,1200,Oui
20/01/2024,GreenEnergy,France,SMB,Basic,450,Non
22/01/2024,FastLog,Allemagne,Consumer,Basic,300,Oui
25/01/2024,UltraNet,Canada,Enterprise,Premium,2500,Non
28/01/2024,MedData,France,SMB,Pro,1100,Non
01/02/2024,CyberShield,USA,Enterprise,Pro,1200,Non
03/02/2024,SoloDev,UK,Consumer,Basic,300,Oui
05/02/2024,BigRetail,France,Enterprise,Premium,2500,Non
08/02/2024,SmallShop,Allemagne,SMB,Basic,450,Non
10/02/2024,FutureSoft,USA,Enterprise,Pro,1200,Non
12/02/2024,SkyTech,Canada,SMB,Pro,1100,Non
15/02/2024,SecureLine,France,Enterprise,Premium,2500,Non
18/02/2024,AlphaData,UK,Enterprise,Pro,1200,Oui
20/02/2024,WestCoast,USA,SMB,Basic,450,Non
22/02/2024,EuroHedge,France,Enterprise,Premium,2800,Non
25/02/2024,HealthIT,USA,SMB,Pro,1300,Non
28/02/2024,BerlinLog,Allemagne,Enterprise,Pro,1400,Oui
01/03/2024,ToronTech,Canada,Consumer,Basic,310,Oui
03/03/2024,ParisStore,France,SMB,Basic,480,Non
05/03/2024,LondonLaw,UK,SMB,Pro,1150,Non
08/03/2024,NYData,USA,Enterprise,Premium,2600,Non
10/03/2024,MunichAuto,Allemagne,Enterprise,Pro,1250,Non
12/03/2024,QuebecSaaS,Canada,Consumer,Basic,290,Oui
15/03/2024,LyonSoft,France,SMB,Pro,1100,Non
18/03/2024,TexasOil,USA,Enterprise,Premium,2700,Non
20/03/2024,HamburgAir,Allemagne,SMB,Basic,460,Non
22/03/2024,OxUni,UK,Enterprise,Pro,1200,Non
25/03/2024,MarseilleVins,France,SMB,Basic,440,Oui
28/03/2024,SiliconVal,USA,Enterprise,Premium,2900,Non
01/04/2024,GlobalNet,Canada,Enterprise,Pro,1300,Non
03/04/2024,FrankFruit,Allemagne,Consumer,Basic,320,Oui
05/04/2024,BordEaux,France,Enterprise,Premium,2500,Non
08/04/2024,WalesCyber,UK,SMB,Pro,1100,Non
10/04/2024,MiamiHeat,USA,SMB,Basic,470,Oui
12/04/2024,NiceCloud,France,Enterprise,Pro,1400,Non
15/04/2024,VanTech,Canada,Consumer,Basic,300,Oui
18/04/2024,BerlinBio,Allemagne,Enterprise,Premium,2600,Non
20/04/2024,LilleOps,France,SMB,Basic,450,Non
22/04/2024,WashPost,USA,Enterprise,Pro,1250,Non
25/04/2024,EdinEdu,UK,SMB,Pro,1100,Non
28/04/2024,OttawaGov,Canada,Enterprise,Premium,2500,Non
01/05/2024,ToulouseSpace,France,Enterprise,Premium,2800,Non
03/05/2024,DallasStars,USA,SMB,Basic,460,Oui
05/05/2024,MunichFin,Allemagne,Enterprise,Pro,1450,Non
08/05/2024,CalgaryOil,Canada,SMB,Basic,450,Oui
10/05/2024,NantesShip,France,SMB,Pro,1100,Non
12/05/2024,LeedsRetail,UK,Enterprise,Premium,2600,Non
15/05/2024,UtahSaaS,USA,Consumer,Basic,300,Oui
18/05/2024,RennesGouv,France,Enterprise,Premium,2500,Non
20/05/2024,BioHansa,Allemagne,SMB,Pro,1200,Non
22/05/2024,MontrealAI,Canada,Enterprise,Pro,1300,Non
25/05/2024,Alpha,USA,Enterprise,Premium,2500,Non
28/05/2024,Beta,France,SMB,Basic,450,Oui
01/06/2024,Gamma,USA,Consumer,Basic,300,Oui
03/06/2024,Delta,Allemagne,Enterprise,Pro,1200,Non
05/06/2024,Epsilon,Canada,SMB,Basic,450,Oui
08/06/2024,Zeta,France,Enterprise,Premium,2500,Non
10/06/2024,Eta,UK,SMB,Pro,1100,Non
12/06/2024,Theta,USA,Enterprise,Pro,1200,Oui
15/06/2024,Iota,Allemagne,Consumer,Basic,300,Oui
